commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
7b8480744ea6e6fb41efd4329bb470c8f3c763db,apache/groovy,False,False,2003,1070355653,372,23,8,3,3,2.6697429443897702,0.25,3.625,2.125,243,243.0,0.683584822589726
192b631e7be302ecde822546ba70a9853ddbda01,apache/groovy,False,False,2003,1063298262,2,2,2,2,1,1.0,1.0,0.0,2.5,19,19.0,14.0
0ab6465a7dece117c61c3efd3ec95d20524bdad6,apache/groovy,False,False,2003,1069704572,41,26,3,3,2,1.2376124957990802,0.666666666666667,5.33333333333333,45.0,233,233.0,0.0006060572641253
449241d5fa1aeadd5eb9fa1280d4104dc0dfb891,apache/groovy,False,False,2003,1068487625,8,6,2,1,1,0.591672778582327,1.0,3.0,35.5,64,64.0,55.0
698df9f5b0816e05bbf97a390428f8ef94e0cdbf,apache/groovy,False,False,2003,1063313516,70,4,6,3,1,2.51967199794846,0.333333333333333,0.0,6.0,27,27.0,22.0
9063e6ec3341c131e1a97c4f83becc57577e4e1b,apache/groovy,False,False,2003,1070979569,104,29,7,5,1,2.31324778738856,0.4285714285714289,3.14285714285714,33.7142857142857,273,273.0,215.0
ea53eef5ce6a983fc8d35ccfe4bfeff0e6d9c65c,apache/groovy,False,False,2003,1063458467,9,0,1,1,1,0.0,1.0,1.0,1.0,49,49.0,27.0
4fb3f2922e3aef0c494c315241826a7c9cb8e371,apache/groovy,False,False,2003,1063360978,58,0,1,1,1,0.0,1.0,0.0,1.0,37,37.0,16.0
e2c6289ab695e2b52dc9dd67338a05142219fed3,apache/groovy,False,False,2003,1063361736,65,0,1,1,1,0.0,0.0,0.0,0.0,38,38.0,17.0
3a0e164308dbf76322cc7473f6181694ca7e4867,apache/groovy,False,False,2003,1063963063,19,3,2,2,1,0.4394969869215129,1.0,0.0,17.5,66,66.0,42.0
34d9b8096cbc92714295ce6c681bc8082934a399,apache/groovy,False,False,2003,1063431379,77,34,2,1,1,0.91829583405449,1.0,1.0,4.0,29,29.0,24.0
a322a829a586cf03685152f06cc7025d66062202,apache/groovy,False,False,2003,1063292086,58,0,1,1,1,0.0,1.0,0.0,1.0,10,10.0,6.0
a33d645f00add6f8a5d8830be164a50f86c5101a,apache/groovy,True,False,2003,1071649553,213,136,6,2,1,1.44521384411746,0.333333333333333,25.1666666666667,6.5,321,321.0,249.0
5bc34028c9e802c2219c670dbabfb7aebb91584e,apache/groovy,False,False,2003,1063897405,33,4,3,3,2,1.20684783199738,0.666666666666667,0.0,9.33333333333333,58,58.0,0.0006060572641253
a30c3cc287de122be0d31cb7e974c063c74ac04d,apache/groovy,False,False,2003,1064377749,155,10,4,3,1,1.63519425866452,0.5,0.0,10.5,38,38.0,32.0
0de685ca192e9e842b28ec565711103a6a16c5ec,apache/groovy,False,False,2003,1069027601,8,4,1,1,1,0.0,2.0,12.0,6.0,215,215.0,167.0
06a456ec1670fb26a86f8a18f5b55017ac961f39,apache/groovy,True,False,2003,1064916954,223,33,7,5,2,2.21368713000046,0.142857142857143,1.85714285714286,12.142857142857098,104,104.0,0.0006060572641253
57af1390271670c354511a8e949fa0629aa9b243,apache/groovy,False,False,2003,1064422205,7,2,3,2,1,1.53049305675748,0.333333333333333,2.0,10.3333333333333,83,83.0,56.0
d0f22e3e9bc9d5bba803c06b2953e95176685dc0,apache/groovy,False,False,2003,1064256644,468,78,22,7,2,3.37085198924354,0.0454545454545455,5.5,4.31818181818182,71,71.0,0.0006060572641253
425d36a3978b55e7cfd66b7977e9487a18fab8f2,apache/groovy,False,False,2003,1065381990,405,90,22,8,2,3.75309615828927,0.0454545454545455,4.22727272727273,7.31818181818182,116,116.0,0.0006060572641253
b745f26831608aa141ba085ce3c68fd9c811939b,apache/groovy,False,False,2003,1072801674,74,0,3,2,1,1.3843242140577,0.333333333333333,15.666666666666698,2.0,367,367.0,282.0
18698831cbb263a1766ae047a5e0b96879925f25,apache/groovy,False,False,2003,1070088975,242,38,11,7,1,2.62937050198196,0.272727272727273,18.1818181818182,21.9090909090909,9,9.0,9.0
797fdd674036b65151138b10aecb475c8b26a9f5,apache/groovy,False,False,2003,1063439584,243,29,7,4,2,2.09353216791902,0.142857142857143,0.142857142857143,4.142857142857141,47,47.0,0.0006060572641146
77a56120a15aba8b45ed2b3095a7ec7591762af5,apache/groovy,False,False,2003,1071327616,1,1,1,1,1,0.0,1.0,47.0,1.0,304,304.0,239.0
192543f43bf728e3ed887744fa0fcaf33dc460ed,apache/groovy,False,False,2003,1063298352,2,2,2,2,1,1.0,1.0,0.0,3.5,20,20.0,15.0
1118237196e19816492fe64a21f6509c1c78d892,apache/groovy,False,False,2003,1063895832,88,44,4,3,2,1.12005609785651,0.25,2.5,9.0,56,56.0,0.0006060572641253
860aa48934ac3eb2f6c0ec10fec7637e31ee73c2,apache/groovy,False,False,2003,1072194694,4,2,2,1,1,0.91829583405449,0.5,26.0,2.0,358,358.0,277.0
5a787ab2b618731249d84b9fe612924d27d5edfb,apache/groovy,False,False,2003,1063613162,47,13,3,2,1,1.29318987968681,0.333333333333333,0.666666666666667,7.0,54,54.0,31.0
353ef84ee8e2cb01fd24e4414721d2b59387c4ac,apache/groovy,False,False,2003,1067889550,64,1373,18,6,2,3.1759691145511098,0.111111111111111,11.444444444444402,11.8888888888889,189,189.0,0.0006060572641253
2d670997287093043c7bb38c1857abc0651ca8d1,apache/groovy,False,False,2003,1069888373,33,27,1,1,1,0.0,2.0,0.0,22.0,1,1.0,1.0
4278af862f0ae4b4ab6f0020f685f858bc1c3d32,apache/groovy,False,False,2003,1072190433,10,10,2,2,1,0.468995593589281,1.5,0.0,37.0,352,352.0,275.0
51286f1559f59473a50379eea8ac4e4fac34f0f1,apache/groovy,False,False,2003,1063311851,71,0,2,1,1,0.967559481901821,1.0,0.0,8.0,26,26.0,21.0
508ae5fd99ab1307043918ffd4b1c87de9af9f6f,apache/groovy,False,False,2003,1064337833,43,3,2,2,2,0.347816913571063,1.0,2.0,10.0,35,35.0,0.233394622773631
9374a7fbef47d51b2c41377f544bc9bfcee983c4,apache/groovy,False,False,2003,1070386424,146,35,6,3,1,1.8676244339586896,0.666666666666667,6.66666666666667,22.5,247,247.0,193.0
7f8c9d36a9f8265944ab11209037a0e0373c44f5,apache/groovy,False,False,2003,1070899622,19,5,2,1,1,0.811278124459133,0.5,0.0,1.5,262,262.0,205.0
953ccd9e31ee069d0c5d3b7a33aef0a81b41830a,apache/groovy,False,False,2003,1070358006,45,2,1,1,1,0.0,3.0,0.0,54.0,245,245.0,191.0
fd3c17b5f60d402ba42a72a49ed71cf21d179fec,apache/groovy,False,False,2003,1071857976,32,16,4,2,1,1.62241831155027,0.75,0.0,28.5,334,334.0,260.0
c70f046c2079dfd675294c0e2ce97591b41d48d6,apache/groovy,False,False,2003,1071079706,348,0,4,2,1,1.3476218659376895,0.25,0.0,0.75,286,286.0,227.0
a1cf98a395e3defdce74ad3b59ab08451ff1abc2,apache/groovy,False,False,2003,1069036605,19,2,2,2,1,0.998363672593813,1.0,0.5,6.0,218,218.0,170.0
8169b159895f5f727287f6dff351e61569d03f48,apache/groovy,False,False,2003,1063292137,78,0,1,1,1,0.0,0.0,0.0,0.0,21,21.0,1.0
8d9486a6a4cad4d82a114f9eb9b1a8e519e5ef0a,apache/groovy,False,False,2003,1072189636,1,1,1,1,1,0.0,3.0,0.0,69.0,350,350.0,273.0
f9ef0e15712dceb2a1e1667bac5766d93abad5ed,apache/groovy,False,False,2003,1067441581,26,1,2,2,1,0.975119064940866,0.5,2.5,7.0,158,158.0,119.0
28fb7a567bcd349164067b330a4c3225894071e4,apache/groovy,False,False,2003,1063478862,95,16,4,3,1,0.7645270417738791,0.25,0.25,7.25,52,52.0,30.0
589a80953496f6c0a985687b509ad9c45094fd5b,apache/groovy,False,False,2003,1067527680,94,3,3,2,2,0.851386608511222,0.333333333333333,0.333333333333333,4.0,167,167.0,0.0031752511859223
e8945a22885b9c366f1c110977912e990754b8c5,apache/groovy,False,False,2003,1065092180,140,1,3,1,1,1.19824323230497,0.333333333333333,0.333333333333333,1.33333333333333,108,108.0,79.0
4e5fee40f36e16b602bd901e42711bb2f5ccc716,apache/groovy,False,False,2003,1065683405,129,17,8,2,1,2.19254301348488,0.25,0.75,8.0,134,134.0,104.0
a71476aae7c79aac1e8587c133b252c2b9f8af58,apache/groovy,False,False,2003,1065541655,497,0,3,2,1,0.454213871400529,0.333333333333333,0.0,0.333333333333333,128,128.0,98.0
98076bc1e9fd328febf6e3a0d3f516963b501865,apache/groovy,False,False,2003,1069623198,6,3,3,2,1,1.3516441151533898,1.0,18.6666666666667,3.3333333333333304,6,6.0,6.0
22a8586051d2839b6513a3663427ea6b9f3a4767,apache/groovy,False,False,2003,1069393576,17,3,2,2,1,0.992774453987808,1.0,15.0,17.0,73,73.0,58.0
d257099d278c6034278e7a8ebdebef9b70a1d780,apache/groovy,False,False,2003,1067947248,90,35,22,13,2,3.7288826317952495,0.136363636363636,10.0454545454545,11.0454545454545,190,190.0,0.285164825618239
1ce0b04eff4025879efeb2ec6338d7cf51def3b5,apache/groovy,False,False,2003,1070312663,41,2,3,2,1,1.42113383497012,1.0,0.666666666666667,37.3333333333333,12,12.0,12.0
ec7ffa7f48bd13674078c476f74e84b38834199d,apache/groovy,False,False,2003,1067525860,70,43,1,1,1,0.0,1.0,0.0,1.0,165,165.0,126.0
6ffeb5b3727c94e7ce6338be1a38b06344db9843,apache/groovy,True,False,2003,1067476255,63,51,6,2,1,1.70457605884729,0.166666666666667,3.5,0.833333333333333,160,160.0,121.0
1dc96b90f0612ad2642a415227379e02c48a4e5e,apache/groovy,False,False,2003,1063894969,33,0,1,1,1,0.0,2.0,5.0,13.0,32,32.0,27.0
