commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
dda8b4518e626838d3f0273fae62cc1ac59d6057,apache/hive,False,False,2008,1221867817,11,0,1,1,1,0.0,1.0,16.0,1.0,9,9.0,0.0
879d51ca751f248f97b74e21ead110a3470afae0,apache/hive,True,False,2008,1229510144,1567,1001,87,9,3,5.76340395952696,0.0344827586206897,16.7586206896552,4.96551724137931,41,41.0,0.8023164627548249
24a43881b24ba6178caf9130b270294c16860658,apache/hive,False,False,2008,1228780213,266,149,9,2,2,2.01193314421351,0.222222222222222,6.0,3.22222222222222,22,22.0,0.562425374984741
fe66edeb1b886257fc7720ae2064806cea6c5f4f,apache/hive,True,False,2008,1230684416,61,10,5,3,2,1.59368630752653,0.4,19.0,12.4,61,61.0,0.9334982455946892
2e97965440710901b9223c984b9e14f9e57e43b2,apache/hive,True,False,2008,1221869167,776,23,31,6,2,3.3161728861327004,0.0967741935483871,0.0,1.32258064516129,1,1.0,1.0
7f2405ba73737a913e0647010b7b04098abb326e,apache/hive,False,False,2008,1229468399,63,117,3,2,1,1.08488402927661,0.333333333333333,23.3333333333333,1.0,39,39.0,4.0
2d0c4e8ccabf4704c6f5189226b123ccaeb4f92e,apache/hive,True,False,2008,1229464268,130,1,4,4,3,0.955309520641548,0.75,11.0,12.75,38,38.0,0.343626813058171
9799871704a0f5fb43c63462d10c93dec7fac240,apache/hive,False,False,2008,1227060721,24,3,4,3,4,1.4307567315061998,0.75,6.0,4.0,19,19.0,0.329410805694351
9691a93c647d414b863990f44d82408755fae12c,apache/hive,False,False,2008,1228862915,14,0,5,3,2,1.8073549220576,0.6,0.0,9.6,25,25.0,0.933498203754425
9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,apache/hive,False,False,2008,1230684724,12,9,7,6,4,2.49829658893032,0.5714285714285711,31.4285714285714,12.4285714285714,24,24.0,0.3791580482888221
81d320b946225da0a8ec9993be11c1be5c0b2908,apache/hive,True,False,2008,1227454909,2237,46,11,4,2,1.26334429497345,0.272727272727273,4.36363636363636,2.81818181818182,23,23.0,0.7677071094512941
b3d2e3defa2d5b45a777a64dc2f17fe699041260,apache/hive,False,False,2008,1229979563,229,160,8,3,3,2.63721352501356,0.375,23.25,10.375,53,53.0,0.8024688811156541
f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,apache/hive,True,False,2008,1229137506,31,3,3,2,2,1.3251318452515402,1.0,6.0,15.333333333333302,33,33.0,0.566335670067929
5b2188c002dd6804566d505021c8b825ed4989fe,apache/hive,True,False,2008,1228948634,24,16,6,3,3,1.48101968586579,0.5,16.0,6.83333333333333,27,27.0,0.950465238117713
b95207762b16e9c226945c18588892f4908ec725,apache/hive,True,False,2008,1228768528,780,4138,59,14,12,3.95416037566764,0.0677966101694915,18.8813559322034,1.83050847457627,18,18.0,0.3478699758054009
7e07f6d52495c3bd88d8344edcaa5688f367961e,apache/hive,True,False,2008,1228471816,332,163,16,7,4,2.7828951422314705,0.25,16.0,5.75,12,12.0,0.6480969190597529
6b749c14837b5a4c4d9a7f87bc2176618b2e139f,apache/hive,True,False,2008,1221819562,773,1,12,7,2,1.9005118262953304,0.166666666666667,0.0,0.916666666666667,0,0.0,0.0
7baa55c6da6e3f2baf2ebd26e6d7ebc2f7cd440e,apache/hive,True,False,2008,1221696557,3725,0,39,3,1,4.94378278736862,0.0,0.0,0.0,7,7.0,1.0
45584492b16f6271011659539371925ef8cd648e,apache/hive,True,False,2008,1221682380,6697,1906,10,5,3,1.55458851667326,0.2,0.9,2.4,6,6.0,0.1234567901234569
