commit_id,author_date,true_label,predicted
acdd96311f3ed570443e8ff839606b0c1bcd4666,1063913590,0,0.0
3ebd65a22530b0a8216ad4457d1ee6a8108cbe1c,1063954626,0,0.0
cd84934930f011c6787c0cf52be437db18d88656,1063956500,0,0.0
3a0e164308dbf76322cc7473f6181694ca7e4867,1063963063,0,0.0
ecce4047414cafb254541307247c8d9101646609,1063967247,0,0.0
c4eeee65c9e525b823a407ecae31219f3328241c,1064135327,0,0.0
488bd06ca39a9b38166b173c14779eea761a9c8b,1064235999,0,0.0
d0f22e3e9bc9d5bba803c06b2953e95176685dc0,1064256644,0,0.0
e38d71166fc8cd7ebb7217fd4b7d7465a10b6d7c,1064335025,0,0.0
508ae5fd99ab1307043918ffd4b1c87de9af9f6f,1064337833,0,0.0
27b550493debc84f9b5584bab85018126c00e956,1064338049,0,0.0
901b3294774cdd73c5591233f01a9b2f875310ae,1064338707,0,0.0
aafff1d384f611a66edd1b95108502c27789e2cc,1064339747,0,0.0
a30c3cc287de122be0d31cb7e974c063c74ac04d,1064377749,0,0.0
ac25c02414dfa1ee48e0450f921fe95a677df7d3,1064377999,0,0.0
a0ed26028c87342036eafb46d9e51d6d1dd0405d,1064421545,0,0.0
57af1390271670c354511a8e949fa0629aa9b243,1064422205,0,0.0
b1666e2150bc34e33fab0d3d83d1c1bf3249c62f,1064424179,0,0.0
7444652de672344da40a46c6b7846f82aa8ee015,1064424395,0,0.0
40f82da1eadd6d55ce0473f254bf7760fca6d3b4,1064424990,0,0.0
215f9d1348f0c7cb148ee8fa14cc8b637d81b524,1064425437,0,0.0
51ae3d70057882a98cc4b1d697d14c400b2f54ba,1064429292,0,0.0
ea7269bb5924fa4648abdeed59c241977da62ad6,1064431599,0,0.0
3144c0e9c7b76f1df693f16e982b1da451c42c2c,1064471000,0,0.0
b85c6f0fd98dd3ced6276f2165db15c398aa5c54,1064480113,0,0.0
8aaa352a5ae8e0385b18518cecfcbb9574a0b3fd,1064487402,0,0.0
bb2273b91f88397490f67e5be94c9eb9d2a741ad,1064497343,0,0.0
d72a224aab439e2e2bcad6434c664c78eac58c0c,1064498224,0,0.0
0a961254c3cadcf54ec173a9d430e385f7c9612d,1064501482,0,0.0
32eae498a30735777a77903a8283f0363b900a3d,1064509382,0,0.0
e1ea7417a7e9e48b963dfa540e125a956c24e691,1064510055,0,0.0
20a38d9b2a87c052a4db498f16fef549e330474c,1064513684,0,0.0
e24bf2ac875032b3eeb51e3ce7d20d573b6149d5,1064528394,0,0.0
2983b9e0a398cc5d156e2f446f2f203868ce292c,1064560262,0,0.0
ec6321cde182487f05c420be436833f232e78862,1064596333,0,0.0
06a456ec1670fb26a86f8a18f5b55017ac961f39,1064916954,1,0.0
a7ce06e318dd27e1065b1e106d0ad64f790fb3a2,1064931199,1,1.0
538fc8498dc01d9d8f7edf2749f9e17b334e02ab,1065032691,0,1.0
44df07fcba99d7d219ef8381c6c7b7342e9ed319,1065080750,1,0.0
e8945a22885b9c366f1c110977912e990754b8c5,1065092180,0,0.0
fd96e18b2d982a127e2ba32ebc21fa7bcae5d153,1065095390,0,0.0
82f0514cdab58c920cac1392febbd8ffa4a49ce7,1065120115,0,1.0
